
ANOMALY tick: +10@2015.04.01.15.39.35
138.37.37.238->138.37.36.5: 0.0 (-1.0)
138.37.37.238->138.37.36.217: 0.0 (-9.0)
138.37.37.238->138.37.36.147: 18.0 (17.0)
138.37.37.238->138.37.36.198: 2.0 (-17.0)
138.37.37.238->138.37.36.152: 0.0 (-1.0)
138.37.36.144->138.37.37.196: 2.0 (2.0)
138.37.36.119->138.37.36.224: 0.0 (-2.0)
138.37.36.119->138.37.37.74: 0.0 (-1.0)
138.37.36.111->173.194.139.250: 5.0 (1.0)
138.37.37.196->138.37.36.161: 1.0 (1.0)
138.37.37.196->138.37.36.176: 0.0 (-1.0)
138.37.37.196->138.37.36.30: 1.0 (1.0)
138.37.37.196->138.37.36.177: 0.0 (-2.0)
138.37.37.196->138.37.36.18: 1.0 (1.0)
138.37.37.196->138.37.36.210: 0.0 (-1.0)
138.37.37.196->138.37.36.243: 0.0 (-1.0)
138.37.37.196->138.37.36.218: 0.0 (-1.0)
138.37.37.196->138.37.36.4: 1.0 (1.0)
138.37.37.196->138.37.36.143: 2.0 (2.0)
138.37.37.196->138.37.36.28: 0.0 (-1.0)
138.37.37.196->138.37.36.58: 0.0 (-1.0)
138.37.37.196->138.37.36.167: 0.0 (-1.0)
138.37.37.196->138.37.36.29: 1.0 (1.0)
